name,price,link,glass_image,try_on_image
Springfield,$24.95,https://www.glassesshop.com/eyeglasses/fm1408,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201910/5da92c94679bd.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201910/5da92c9056ace.jpg"
Arlene,$24.95,https://www.glassesshop.com/eyeglasses/fp1762,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201808/5b7e0ee291eff.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201808/5b7e0ee290c10.jpg"
Endicott,$29.95,https://www.glassesshop.com/eyeglasses/fz1392,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201910/5d9ffa72dbb0e.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202008/5f4763ba4a2fd.jpg"
Arlene,$24.95,https://www.glassesshop.com/eyeglasses/fp1764,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201808/5b7e0ee2975f3.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201808/5b7e0ee295ebe.jpg"
Christian,$29.95,https://www.glassesshop.com/eyeglasses/sup0759,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202001/5e0eb47d12e4c.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202003/5e818cf9088ff.jpg"
Bernardino,$34.95,https://www.glassesshop.com/eyeglasses/sup0747,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202007/5f1e8f4a2edeb.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202007/5f1e8f4bf35db.jpg"
Flushing,$12.95,https://www.glassesshop.com/eyeglasses/fp1973,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202006/5ee87209d7257.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202006/5ee8720b4a118.jpg"
Riverside,$19.95,https://www.glassesshop.com/eyeglasses/fm1384,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201906/5d0318962569f.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201906/5d031896172db.jpg"
Whittier,$29.95,https://www.glassesshop.com/eyeglasses/fz1311,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201906/5cf8ca4e8f77c.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201906/5cf8ca4e8dbc6.jpg"
Rochester,$29.95,https://www.glassesshop.com/eyeglasses/fm1383,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201906/5cff0f5a59b35.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201906/5cff0f5a58172.jpg"
Averies,$19.95,https://www.glassesshop.com/eyeglasses/fp1830,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201904/5cb69b4231106.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201904/5cb69b422e3d9.jpg"
Wilker,$29.95,https://www.glassesshop.com/eyeglasses/sup0624,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201904/5cb69b5e619ad.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202007/5f14f5f063a66.jpg"
Heather,$29.95,https://www.glassesshop.com/eyeglasses/fp1704,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202004/5e9d1d010a57b.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201910/5da681881bbcd.jpg"
James,$44.95,https://www.glassesshop.com/eyeglasses/fm1086,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201707/5965e62dae07c.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201707/5965e630b940c.jpg"
Trenton,$19.95,https://www.glassesshop.com/eyeglasses/fp1232,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201611/58252d0bc746b.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201611/58252d0bc6372.jpg"
Duluth,$29.95,https://www.glassesshop.com/eyeglasses/sup0788,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202001/5e0eb6300f466.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/202008/5f4763c5e5b88.jpg"
Miami,$29.95,https://www.glassesshop.com/eyeglasses/fz0983,"https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201808/5b873cb02e60f.jpg","https://glassesshop-res.cloudinary.com/w_800,h_400,c_pad/products/201808/5b873cb02cc17.jpg"
